|23||40|18|
|23||41|17|
|23||42|16|
|23||43|15|
|23||44|14|
|23||45|13|
|23||46|12|
|25||47|9|
|26||48|7|
|26||49|6|
|26||50|5|
|26||52|3|
|29||53|1|
|28||51|12|
|30||57|3|
|17||25|297|
|18||23|290|
|18||33|289|
|18||34|281|
|18||35|273|
|19||36|257|
|19||38|241|
|19||39|233|
|19||41|217|
|20||42|201|
|20||43|193|
|20||44|185|
|21||45|169|
|21||47|153|
|22||48|137|
|22||49|129|
|23||50|113|
|23||51|105|
|24||42|90|
|25||43|70|
|26||44|54|
|28||54|43|
|31||56|24|
|38||50|51|
|41||58|29|
|28||20|180|
|29||18|174|
|30||19|164|
|30||20|158|
|31||20|153|
|31||40|152|
|32||28|109|
|33||28|104|
|33||29|98|
|33||30|92|
|33||31|86|
|33||36|64|
|34||36|59|
|35||37|49|
|36||40|29|
|36||41|23|
|36||42|19|
|37||43|11|
|38||42|9|
|40||50|10|
|27||15|104|
|28||14|98|
|29||15|92|
|30||15|89|
|30||16|85|
|30||17|83|
|30||18|79|
|30||19|77|
|31||24|59|
|32||24|56|
|32||25|52|
|32||32|32|
|33||32|29|
|34||33|23|
|35||36|15|
|36||36|14|
|37||35|8|
|38||35|5|
|41||48|35|
|44||59|34|
|28||17|250|
|29||16|244|
|30||17|230|
|31||17|223|
|31||18|215|
|31||38|207|
|32||26|153|
|33||26|146|
|33||27|138|
|33||28|130|
|33||29|122|
|33||30|114|
|33||34|90|
|34||34|83|
|35||35|69|
|36||38|65|
|37||38|60|
|40||35|34|
|43||51|20|
|41||47|11|
|26||20|236|
|28||21|215|
|29||22|199|
|29||23|191|
|29||25|177|
|30||30|138|
|31||31|122|
|31||32|114|
|31||33|106|
|31||38|75|
|33||40|51|
|35||41|38|
|36||40|30|
|37||39|26|
|42||57|24|
|37||48|3|
|21||24|166|
|22||23|156|
|23||23|148|
|25||24|133|
|26||25|121|
|26||27|111|
|26||29|101|
|26||30|96|
|26||31|91|
|26||32|86|
|27||33|78|
|27||36|61|
|27||37|56|
|27||38|51|
|27||39|46|
|27||40|41|
|28||41|33|
|30||43|23|
|40||59|11|
|39||48|2|
|40||52|1|
|41||58|0|
|19||28|93|
|22||33|66|
|23||34|60|
|23||35|57|
|23||36|54|
|23||37|51|
|24||40|39|
|24||41|36|
|24||42|33|
|24||43|30|
|24||44|27|
|24||45|24|
|26||47|14|
|29||48|9|
|24||46|13|
|19||19|169|
|20||18|159|
|21||18|150|
|23||19|132|
|24||24|92|
|25||25|80|
|25||26|74|
|25||27|68|
|25||35|63|
|26||31|38|
|26||32|32|
|26||33|26|
|26||34|20|
|26||35|18|
|35||42|23|
|21||27|94|
|22||28|86|
|23||28|82|
|23||29|77|
|24||30|67|
|24||31|62|
|24||32|59|
|24||33|54|
|24||34|51|
|25||37|38|
|25||38|33|
|26||39|23|
|26||40|18|
|26||43|12|
|27||43|8|
|28||48|7|
